Type,Group,UO2,MOX,H2O,CR
SigTR,G1,1.77949E-01,1.83045E-01,1.59206E-01,2.16768E-01
SigTR,G2,3.29805E-01,3.36705E-01,4.12970E-01,4.80098E-01
SigTR,G3,4.80388E-01,5.00507E-01,5.90310E-01,8.86369E-01
SigTR,G4,5.54367E-01,6.06174E-01,5.84350E-01,9.70009E-01
SigTR,G5,3.11801E-01,5.02754E-01,7.18000E-01,9.10482E-01
SigTR,G6,3.95168E-01,9.21028E-01,1.25445E+00,1.13775E+00
SigTR,G7,5.64406E-01,9.55231E-01,2.65038E+00,1.84048E+00
SigA,G1,8.02480E-03,9.48620E-03,6.01050E-04,1.70490E-03
SigA,G2,3.71740E-03,4.65560E-03,1.57930E-05,8.36224E-03
SigA,G3,2.67690E-02,3.62400E-02,3.37160E-04,8.37901E-02
SigA,G4,9.62360E-02,1.32720E-01,1.94060E-03,3.97797E-01
SigA,G5,3.00200E-02,2.08400E-01,5.74160E-03,6.98763E-01
SigA,G6,1.11260E-01,6.58700E-01,1.50010E-02,9.29508E-01
SigA,G7,2.82780E-01,6.90170E-01,3.72390E-02,1.17836E+00
SigF,G1,7.21206E-03,8.67209E-03,0,0
SigF,G2,8.19301E-04,1.62426E-03,0,0
SigF,G3,6.45320E-03,1.02716E-02,0,0
SigF,G4,1.85648E-02,3.90447E-02,0,0
SigF,G5,1.78084E-02,1.92576E-02,0,0
SigF,G6,8.30348E-02,3.74888E-01,0,0
SigF,G7,2.16004E-01,4.30599E-01,0,0
nuSigF,G1,2.00599E-02,2.51860E-02,0,0
nuSigF,G2,2.02730E-03,4.73951E-03,0,0
nuSigF,G3,1.57060E-02,2.94781E-02,0,0
nuSigF,G4,4.51830E-02,1.12250E-01,0,0
nuSigF,G5,4.33421E-02,5.53030E-02,0,0
nuSigF,G6,2.02090E-01,1.07500E+00,0,0
nuSigF,G7,5.25710E-01,1.23930E+00,0,0
Chi,G1,5.87910E-01,5.87910E-01,0,0
Chi,G2,4.11760E-01,4.11760E-01,0,0
Chi,G3,3.39060E-04,3.39060E-04,0,0
Chi,G4,1.17610E-07,1.17610E-07,0,0
Chi,G5,0,0,0,0
Chi,G6,0,0,0,0
Chi,G7,0,0,0,0
