generations,histories,histories_times_generations,k_eff_mc_mean,wall_time_s
20.0,500.0,10000.0,1.0954,0.9754303999998228
20.0,1000.0,20000.0,1.076401,0.9752862000004825
40.0,500.0,20000.0,1.079114,0.9675001000014163
20.0,1500.0,30000.0,1.066545,1.012403099999574
60.0,500.0,30000.0,1.082061,1.0756965000000491
20.0,2000.0,40000.0,1.071893,1.0491915000002336
40.0,1000.0,40000.0,1.075371,1.0285614000003989
80.0,500.0,40000.0,1.082772,1.0443678999999975
100.0,500.0,50000.0,1.083906,1.1051435000008496
20.0,3000.0,60000.0,1.073133,1.1014995999994426
40.0,1500.0,60000.0,1.082903,1.110203599999295
60.0,1000.0,60000.0,1.092453,1.1595101000002614
120.0,500.0,60000.0,1.079608,1.1028343999987555
40.0,2000.0,80000.0,1.082327,1.18127419999837
80.0,1000.0,80000.0,1.071216,1.1883469999993395
60.0,1500.0,90000.0,1.081975,1.253965199999584
100.0,1000.0,100000.0,1.088936,1.265226999999868
40.0,3000.0,120000.0,1.080333,1.4137448000001314
60.0,2000.0,120000.0,1.082303,1.299846099998831
80.0,1500.0,120000.0,1.079095,1.3081263000003673
120.0,1000.0,120000.0,1.093622,1.295585799998662
100.0,1500.0,150000.0,1.077378,1.4693520000000717
80.0,2000.0,160000.0,1.083778,1.4644138000003295
60.0,3000.0,180000.0,1.073669,1.4953705000007176
120.0,1500.0,180000.0,1.080554,1.5162337999990996
100.0,2000.0,200000.0,1.079528,1.6135864000007132
80.0,3000.0,240000.0,1.080801,1.7231388999989576
120.0,2000.0,240000.0,1.080232,1.7151138999997784
100.0,3000.0,300000.0,1.077504,1.9065654999994877
120.0,3000.0,360000.0,1.081916,2.1078470000011293
