Material,G_from,G_to,Value
UO2,1,1,1.275370E-01
UO2,1,2,4.237800E-02
UO2,1,3,9.437400E-06
UO2,1,4,5.516300E-09
UO2,2,2,3.244560E-01
UO2,2,3,1.631400E-03
UO2,2,4,3.142700E-09
UO2,3,3,4.509400E-01
UO2,3,4,2.679200E-03
UO2,4,4,4.525650E-01
UO2,4,5,5.566400E-03
UO2,5,4,1.252500E-04
UO2,5,5,2.714010E-01
UO2,5,6,1.025500E-02
UO2,5,7,1.002100E-08
UO2,6,5,1.296800E-03
UO2,6,6,2.658020E-01
UO2,6,7,1.680900E-02
UO2,7,6,8.545800E-03
UO2,7,7,2.730800E-01
MOX,1,1,1.315040E-01
MOX,1,2,4.204600E-02
MOX,1,3,8.697200E-06
MOX,1,4,5.193800E-09
MOX,2,2,3.304030E-01
MOX,2,3,1.646300E-03
MOX,2,4,2.600600E-09
MOX,3,3,4.617920E-01
MOX,3,4,2.474900E-03
MOX,4,4,4.680210E-01
MOX,4,5,5.433000E-03
MOX,5,4,1.859700E-04
MOX,5,5,2.857710E-01
MOX,5,6,8.397300E-03
MOX,5,7,8.928000E-09
MOX,6,5,2.391600E-03
MOX,6,6,2.476140E-01
MOX,6,7,1.232200E-02
MOX,7,6,8.968100E-03
MOX,7,7,2.560930E-01
H2O,1,1,4.447770E-02
H2O,1,2,1.134000E-01
H2O,1,3,7.234700E-04
H2O,1,4,3.749900E-06
H2O,1,5,5.318400E-08
H2O,2,2,2.823340E-01
H2O,2,3,1.299400E-01
H2O,2,4,6.234000E-04
H2O,2,5,4.800200E-05
H2O,2,6,7.448600E-06
H2O,2,7,1.045500E-06
H2O,3,3,3.452560E-01
H2O,3,4,2.245700E-01
H2O,3,5,1.699900E-02
H2O,3,6,2.644300E-03
H2O,3,7,5.034400E-04
H2O,4,4,9.102840E-02
H2O,4,5,4.155100E-01
H2O,4,6,6.373200E-02
H2O,4,7,1.213900E-02
H2O,5,4,7.143700E-05
H2O,5,5,1.391380E-01
H2O,5,6,5.118200E-01
H2O,5,7,6.122900E-02
H2O,6,5,2.215700E-03
H2O,6,6,6.999130E-01
H2O,6,7,5.373200E-01
H2O,7,6,1.324400E-01
H2O,7,7,2.480700E+00
CR,1,1,1.70563E-01
CR,1,2,4.44012E-02
CR,1,3,9.83670E-05
CR,1,4,1.27786E-07
CR,2,2,4.71050E-01
CR,2,3,6.85480E-04
CR,2,4,3.91395E-10
CR,3,3,8.01859E-01
CR,3,4,7.20132E-04
CR,4,4,5.70752E-01
CR,4,5,1.46015E-03
CR,5,4,6.55562E-05
CR,5,5,2.07838E-01
CR,5,6,3.81486E-03
CR,5,7,3.69760E-09
CR,6,5,1.02427E-03
CR,6,6,2.02465E-01
CR,6,7,4.75290E-03
CR,7,6,3.53043E-03
CR,7,7,6.58597E-01
